SKU_ID,Product_Name,Brand,Manufacturer,Ownership,Category,Sub_Category,Segment,Attribute_Claim,Pack_Size_ml,Price_Band,Supplier,List_Price_USD,Unit_Cost_USD,Margin_Pct,Case_Pack,Launch_Date,Status,Hair_Type,Gender,Age_Group,Ingredient_1,Ingredient_2,Ingredient_3,Ingredient_4,Sulphate_Free_Flag,Paraben_Free_Flag,Organic_Flag,Dandruff_Flag,Hair_Fall_Flag,Color_Protection_Flag
SKU0017,PureMane Anti Hair Fall Hair Color 150ml,PureMane,VertexFMCG,Competitor,Hair Care,Hair Color,Mainstream,Anti Hair Fall,150,Mainstream,TerraChem,18.08,12.29,32.02,18,8/13/2024,Active,Fine,Women,Senior,Keratin,Rosemary,Collagen,Argan Oil,Yes,Yes,No,No,Yes,No
SKU0018,PureMane Damage Repair Hair Serum 650ml,PureMane,AuroraMfg,Competitor,Hair Care,Hair Serum,Mainstream,Damage Repair,650,Mainstream,TerraChem,15.17,11.38,24.98,12,2/4/2022,Watch,Coily,Unisex,Senior,Keratin,Biotin,Argan Oil,Tea Tree,No,No,Yes,No,No,No
SKU0019,EarthTress Argan Oil Treatment 300ml,EarthTress,VertexFMCG,Own,Hair Care,Treatment,Mainstream,Argan Oil,300,Mainstream,VertexFMCG,26.19,20.69,21.0,12,11/12/2025,Active,Curly,Men,Teen,Rosemary,Argan Oil,Keratin,Tea Tree,No,No,Yes,No,No,No
SKU0020,GlossRoot Damage Repair Treatment 100ml,GlossRoot,VertexFMCG,Competitor,Hair Care,Treatment,Economy,Damage Repair,100,Economy,TerraChem,14.23,10.96,22.98,24,7/20/2023,Active,Thick,Men,Senior,Keratin,Rosemary,Tea Tree,Collagen,No,No,Yes,No,No,No
SKU0021,EarthTress Color Protection Hair Oil 250ml,EarthTress,AuroraMfg,Own,Hair Care,Hair Oil,Mainstream,Color Protection,250,Mainstream,NimbusLabs,20.03,12.22,38.99,6,12/4/2023,Active,Fine,Unisex,Teen,Biotin,Caffeine,Tea Tree,Argan Oil,No,No,Yes,No,No,Yes
SKU0022,SilkenAura Anti Dandruff Treatment 200ml,SilkenAura,NimbusLabs,Competitor,Hair Care,Treatment,Mainstream,Anti Dandruff,200,Mainstream,PinnacleCo,24.85,17.64,29.01,12,6/11/2022,Active,Thick,Women,Senior,Rosemary,Tea Tree,Keratin,Argan Oil,No,Yes,No,Yes,No,No
SKU0023,VitalStrand Biotin Treatment 500ml,VitalStrand,NimbusLabs,Competitor,Hair Care,Treatment,Mainstream,Biotin,500,Mainstream,VertexFMCG,15.9,12.56,21.01,12,9/27/2022,Active,Wavy,Women,Senior,Collagen,Rosemary,Argan Oil,Keratin,Yes,No,No,No,No,No
SKU0024,NourishLab Argan Oil Hair Mask 400ml,NourishLab,PinnacleCo,Competitor,Hair Care,Hair Mask,Premium,Argan Oil,400,Premium,VertexFMCG,31.55,21.45,32.01,24,4/1/2023,Active,Straight,Women,Teen,Biotin,Keratin,Rosemary,Tea Tree,No,No,No,No,No,No
SKU0025,Lustra Botanix Anti Dandruff Conditioner 400ml,Lustra Botanix,AuroraMfg,Own,Hair Care,Conditioner,Mainstream,Anti Dandruff,400,Mainstream,VertexFMCG,16.7,9.69,41.98,12,10/23/2022,Watch,Straight,Men,Adult,Rosemary,Caffeine,Collagen,Tea Tree,Yes,No,No,Yes,No,No
SKU0026,Lustra Botanix Anti Dandruff Shampoo 100ml,Lustra Botanix,NimbusLabs,Own,Hair Care,Shampoo,Mainstream,Anti Dandruff,100,Mainstream,AuroraMfg,19.51,13.66,29.98,6,12/4/2022,Active,Thick,Men,Adult,Rosemary,Caffeine,Argan Oil,Keratin,No,No,No,Yes,No,No
SKU0027,EarthTress Smoothening Hair Color 300ml,EarthTress,PinnacleCo,Own,Hair Care,Hair Color,Premium,Smoothening,300,Premium,NimbusLabs,28.89,17.05,40.98,12,8/5/2022,Watch,Fine,Unisex,Senior,Aloe Vera,Collagen,Rosemary,Caffeine,Yes,Yes,Yes,No,No,No
SKU0028,SilkenAura Keratin Conditioner 500ml,SilkenAura,NimbusLabs,Competitor,Hair Care,Conditioner,Economy,Keratin,500,Economy,AuroraMfg,11.78,8.25,29.97,6,11/30/2024,Delist Candidate,Fine,Men,Adult,Tea Tree,Argan Oil,Aloe Vera,Caffeine,No,Yes,No,No,No,No
SKU0029,GlossRoot Sulphate Free Hair Serum 650ml,GlossRoot,AuroraMfg,Competitor,Hair Care,Hair Serum,Mainstream,Sulphate Free,650,Mainstream,AuroraMfg,19.7,13.79,30.0,6,3/6/2022,Delist Candidate,Straight,Women,Senior,Keratin,Tea Tree,Collagen,Rosemary,Yes,Yes,No,No,No,No
SKU0030,GlossRoot Anti Dandruff Treatment 250ml,GlossRoot,NimbusLabs,Competitor,Hair Care,Treatment,Economy,Anti Dandruff,250,Economy,NimbusLabs,8.31,6.15,25.99,24,9/29/2025,Active,Curly,Men,Senior,Biotin,Argan Oil,Collagen,Tea Tree,No,No,Yes,Yes,No,No
SKU0031,NourishLab Color Protection Conditioner 650ml,NourishLab,NimbusLabs,Competitor,Hair Care,Conditioner,Economy,Color Protection,650,Economy,AuroraMfg,13.71,10.28,25.02,24,12/22/2024,Watch,Straight,Men,Teen,Collagen,Tea Tree,Argan Oil,Caffeine,No,No,Yes,No,No,Yes
SKU0032,EarthTress Argan Oil Shampoo 100ml,EarthTress,AuroraMfg,Own,Hair Care,Shampoo,Mainstream,Argan Oil,100,Mainstream,NimbusLabs,19.05,12.57,34.02,12,1/27/2023,Delist Candidate,Fine,Men,Senior,Keratin,Aloe Vera,Argan Oil,Tea Tree,Yes,No,Yes,No,No,No
SKU0033,SilkenAura Smoothening Hair Serum 500ml,SilkenAura,AuroraMfg,Competitor,Hair Care,Hair Serum,Premium,Smoothening,500,Premium,NimbusLabs,30.95,25.38,18.0,24,1/14/2023,Active,Wavy,Men,Adult,Rosemary,Biotin,Tea Tree,Caffeine,Yes,Yes,Yes,No,No,No
SKU0034,NourishLab Keratin Hair Oil 300ml,NourishLab,PinnacleCo,Competitor,Hair Care,Hair Oil,Economy,Keratin,300,Economy,VertexFMCG,9.63,7.32,23.99,24,10/14/2024,Active,Straight,Women,Senior,Caffeine,Collagen,Rosemary,Biotin,No,Yes,Yes,No,No,No
SKU0035,Lustra Botanix Smoothening Hair Oil 100ml,Lustra Botanix,VertexFMCG,Own,Hair Care,Hair Oil,Economy,Smoothening,100,Economy,VertexFMCG,10.55,8.02,23.98,6,7/20/2022,Active,Fine,Men,Adult,Rosemary,Argan Oil,Keratin,Tea Tree,No,Yes,Yes,No,No,No
SKU0036,Revynce Biotin Shampoo 650ml,Revynce,VertexFMCG,Own,Hair Care,Shampoo,Mainstream,Biotin,650,Mainstream,VertexFMCG,15.97,12.94,18.97,12,11/22/2024,Active,Curly,Women,Senior,Keratin,Argan Oil,Tea Tree,Biotin,No,No,No,No,No,No
SKU0037,VitalStrand Damage Repair Shampoo 150ml,VitalStrand,VertexFMCG,Competitor,Hair Care,Shampoo,Economy,Damage Repair,150,Economy,AuroraMfg,7.02,4.21,40.03,12,3/15/2024,Delist Candidate,Fine,Unisex,Teen,Argan Oil,Tea Tree,Biotin,Keratin,No,No,No,No,No,No
SKU0038,EarthTress Smoothening Hair Color 100ml,EarthTress,VertexFMCG,Own,Hair Care,Hair Color,Premium,Smoothening,100,Premium,AuroraMfg,35.54,26.66,24.99,24,12/27/2023,Watch,Fine,Men,Teen,Rosemary,Keratin,Collagen,Caffeine,No,Yes,No,No,No,No
SKU0039,VitalStrand Color Protection Hair Oil 250ml,VitalStrand,TerraChem,Competitor,Hair Care,Hair Oil,Mainstream,Color Protection,250,Mainstream,NimbusLabs,27.52,22.57,17.99,18,9/5/2023,Delist Candidate,Coily,Women,Teen,Biotin,Argan Oil,Caffeine,Aloe Vera,Yes,No,Yes,No,No,Yes
SKU0040,Velinea Argan Oil Hair Mask 300ml,Velinea,PinnacleCo,Own,Hair Care,Hair Mask,Premium,Argan Oil,300,Premium,TerraChem,39.12,31.3,19.99,6,10/25/2024,Active,Wavy,Unisex,Senior,Rosemary,Collagen,Tea Tree,Argan Oil,Yes,Yes,Yes,No,No,No
SKU0041,SilkenAura Biotin Hair Color 150ml,SilkenAura,AuroraMfg,Competitor,Hair Care,Hair Color,Premium,Biotin,150,Premium,VertexFMCG,29.64,20.45,31.01,12,5/20/2024,Watch,Coily,Men,Teen,Caffeine,Rosemary,Collagen,Tea Tree,No,Yes,No,No,No,No
SKU0042,PureMane Herbal Conditioner 150ml,PureMane,NimbusLabs,Competitor,Hair Care,Conditioner,Economy,Herbal,150,Economy,TerraChem,7.69,5.23,31.99,18,11/4/2024,Active,Thick,Men,Adult,Rosemary,Aloe Vera,Collagen,Biotin,Yes,No,Yes,No,No,No
SKU0043,SilkenAura Rosemary Treatment 300ml,SilkenAura,VertexFMCG,Competitor,Hair Care,Treatment,Economy,Rosemary,300,Economy,VertexFMCG,10.22,7.15,30.04,6,5/13/2024,Watch,Coily,Unisex,Teen,Biotin,Caffeine,Collagen,Tea Tree,Yes,Yes,Yes,No,No,No
SKU0044,PureMane Anti Dandruff Hair Mask 200ml,PureMane,TerraChem,Competitor,Hair Care,Hair Mask,Premium,Anti Dandruff,200,Premium,AuroraMfg,28.73,18.1,37.0,6,10/17/2024,Watch,Wavy,Men,Senior,Collagen,Caffeine,Keratin,Tea Tree,Yes,No,No,Yes,No,No
SKU0045,Velinea Color Protection Hair Oil 250ml,Velinea,TerraChem,Own,Hair Care,Hair Oil,Mainstream,Color Protection,250,Mainstream,NimbusLabs,19.19,14.97,21.99,18,12/1/2025,Watch,Coily,Men,Senior,Collagen,Aloe Vera,Keratin,Tea Tree,No,Yes,No,No,No,Yes
SKU0046,SilkenAura Anti Hair Fall Hair Oil 150ml,SilkenAura,PinnacleCo,Competitor,Hair Care,Hair Oil,Mainstream,Anti Hair Fall,150,Mainstream,TerraChem,21.3,14.48,32.02,6,4/9/2025,Active,Curly,Women,Adult,Biotin,Keratin,Argan Oil,Tea Tree,Yes,No,Yes,No,Yes,No
SKU0047,GlossRoot Damage Repair Treatment 300ml,GlossRoot,NimbusLabs,Competitor,Hair Care,Treatment,Economy,Damage Repair,300,Economy,PinnacleCo,12.06,8.44,30.02,24,3/29/2025,Watch,Thick,Women,Adult,Collagen,Aloe Vera,Keratin,Biotin,Yes,Yes,No,No,No,No
SKU0048,Revynce Anti Dandruff Shampoo 200ml,Revynce,VertexFMCG,Own,Hair Care,Shampoo,Mainstream,Anti Dandruff,200,Mainstream,AuroraMfg,15.58,9.97,36.01,18,1/14/2025,Watch,Wavy,Women,Senior,Aloe Vera,Tea Tree,Keratin,Collagen,Yes,No,Yes,Yes,No,No
SKU0049,VitalStrand Sulphate Free Conditioner 200ml,VitalStrand,AuroraMfg,Competitor,Hair Care,Conditioner,Mainstream,Sulphate Free,200,Mainstream,TerraChem,21.97,16.04,26.99,18,7/11/2023,Active,Thick,Unisex,Senior,Tea Tree,Rosemary,Argan Oil,Biotin,Yes,Yes,No,No,No,No
SKU0050,GlossRoot Argan Oil Conditioner 250ml,GlossRoot,AuroraMfg,Competitor,Hair Care,Conditioner,Economy,Argan Oil,250,Economy,TerraChem,12.03,7.46,37.99,24,10/8/2023,Watch,Fine,Unisex,Teen,Keratin,Argan Oil,Collagen,Rosemary,Yes,Yes,No,No,No,No
SKU0051,Velinea Damage Repair Conditioner 200ml,Velinea,PinnacleCo,Own,Hair Care,Conditioner,Economy,Damage Repair,200,Economy,AuroraMfg,14.76,10.48,29.0,12,9/25/2025,Active,Fine,Men,Senior,Caffeine,Tea Tree,Collagen,Keratin,No,Yes,No,No,No,No
SKU0052,NourishLab Argan Oil Treatment 250ml,NourishLab,TerraChem,Competitor,Hair Care,Treatment,Mainstream,Argan Oil,250,Mainstream,NimbusLabs,25.85,18.61,28.01,6,10/3/2025,Delist Candidate,Thick,Women,Adult,Aloe Vera,Caffeine,Argan Oil,Keratin,Yes,No,No,No,No,No
SKU0053,Revynce Keratin Treatment 250ml,Revynce,NimbusLabs,Own,Hair Care,Treatment,Mainstream,Keratin,250,Mainstream,PinnacleCo,15.13,12.41,17.98,18,11/9/2025,Active,Fine,Unisex,Senior,Collagen,Caffeine,Tea Tree,Rosemary,No,Yes,No,No,No,No
SKU0054,Lustra Botanix Anti Hair Fall Conditioner 250ml,Lustra Botanix,PinnacleCo,Own,Hair Care,Conditioner,Economy,Anti Hair Fall,250,Economy,TerraChem,10.87,6.3,42.04,18,9/20/2023,Active,Coily,Unisex,Senior,Rosemary,Aloe Vera,Caffeine,Collagen,Yes,Yes,No,No,Yes,No
SKU0055,PureMane Argan Oil Hair Oil 500ml,PureMane,VertexFMCG,Competitor,Hair Care,Hair Oil,Mainstream,Argan Oil,500,Mainstream,TerraChem,15.76,12.61,19.99,6,10/14/2025,Active,Curly,Unisex,Senior,Argan Oil,Rosemary,Keratin,Aloe Vera,Yes,Yes,Yes,No,No,No
SKU0056,PureMane Biotin Conditioner 300ml,PureMane,AuroraMfg,Competitor,Hair Care,Conditioner,Economy,Biotin,300,Economy,AuroraMfg,9.8,5.49,43.98,24,10/11/2023,Active,Wavy,Women,Adult,Argan Oil,Caffeine,Collagen,Rosemary,Yes,No,Yes,No,No,No
SKU0057,GlossRoot Biotin Hair Serum 150ml,GlossRoot,PinnacleCo,Competitor,Hair Care,Hair Serum,Mainstream,Biotin,150,Mainstream,VertexFMCG,24.61,20.18,18.0,12,6/11/2025,Active,Coily,Women,Teen,Caffeine,Argan Oil,Biotin,Keratin,No,Yes,Yes,No,No,No
SKU0058,Revynce Sulphate Free Hair Mask 100ml,Revynce,VertexFMCG,Own,Hair Care,Hair Mask,Mainstream,Sulphate Free,100,Mainstream,VertexFMCG,19.47,13.24,32.0,12,10/29/2025,Active,Fine,Unisex,Teen,Aloe Vera,Caffeine,Tea Tree,Argan Oil,Yes,No,No,No,No,No
SKU0059,NourishLab Argan Oil Shampoo 400ml,NourishLab,VertexFMCG,Competitor,Hair Care,Shampoo,Economy,Argan Oil,400,Economy,TerraChem,9.5,5.61,40.95,6,6/10/2025,Active,Straight,Women,Teen,Biotin,Aloe Vera,Argan Oil,Collagen,No,No,Yes,No,No,No
SKU0060,VitalStrand Argan Oil Hair Oil 500ml,VitalStrand,TerraChem,Competitor,Hair Care,Hair Oil,Mainstream,Argan Oil,500,Mainstream,PinnacleCo,16.88,11.14,34.0,18,3/18/2023,Watch,Coily,Women,Teen,Rosemary,Tea Tree,Aloe Vera,Collagen,Yes,No,No,No,No,No
